CustomerID,CustomerName,Segment,City,Country,Phone,RegisteredDate
CUST0001,Michael Reid,Wholesale,Bridgesfort,UAE,228.883.0059x61233,2026-08-13
CUST0002,Sheri Gilbert,Government,West Amberville,Canada,+1-450-421-1072x8567,2024-12-14
CUST0003,Robert Jones,Government,East Emily,Germany,+1-791-918-7863x52864,2024-02-19
CUST0004,John Baker,Government,East Jenniferfort,UK,7713898399,2022-07-13
CUST0005,Gregory Ho,Online,Kathleenport,Germany,512.812.6520,2026-03-20
CUST0006,Patrick Smith,Retail,Travisfurt,India,+1-233-828-1767x04044,2022-11-14
CUST0007,Seth Brewer,Corporate,East Julie,UAE,904.928.7035x2596,2023-03-02
CUST0008,Desiree Tate,Retail,South Ginatown,UK,895-339-6462x221,2022-07-24
CUST0009,Rachel Jones,Wholesale,Lake Juanport,Germany,+1-856-573-9222,2025-03-06
CUST0010,Amber Page,Retail,Port Sarahfurt,UAE,416.692.3495x036,2025-04-04
CUST0011,Ruth Pratt DDS,Government,New Carolynhaven,Singapore,+1-558-744-9883x195,2021-12-14
CUST0012,Jennifer Parrish,Retail,Lake Lisamouth,Australia,290.577.8866x13006,2023-01-02
CUST0013,Jennifer Simmons,Online,South Paul,Singapore,631.507.2759x3799,2024-01-13
CUST0014,Mr. James Warren DDS,Retail,East Larryport,Australia,(821)582-1849x6712,2025-01-07
CUST0015,Kevin Lopez,Retail,North Marcview,UK,(983)839-4626,2023-10-24
CUST0016,Diana Thompson,Retail,Howellville,USA,230.855.0189,2024-08-31
CUST0017,Cynthia Smith,Retail,North Teresa,Singapore,275.605.2296,2022-07-25
CUST0018,Juan Perez,Wholesale,Stephensontown,Australia,+1-991-716-3207x89897,2022-05-22
CUST0019,Dwayne Bowman,Government,Port Chadland,Singapore,(281)935-4502,2023-01-01
CUST0020,Jennifer Johnson,Wholesale,West Amanda,UK,(433)286-1533x80598,2025-03-05
CUST0021,Christopher Rosales PhD,Retail,Erinborough,Singapore,+1-698-291-4637x50529,2025-05-28
CUST0022,Candice Galvan,Wholesale,Clarkhaven,USA,+1-747-751-3692,2024-06-28
CUST0023,Susan Blevins PhD,Wholesale,Lake Daniel,Germany,+1-985-984-1236,2025-05-20
CUST0024,Dawn Jordan,Online,Walkerfort,USA,408-873-0597x423,2022-05-03
CUST0025,Richard Delacruz,Retail,Barbaramouth,Singapore,973.787.0052,2023-12-08
CUST0026,Mark George,Online,Port Jonathanville,UAE,(647)313-9514x322,2025-01-14
CUST0027,Daniel Clark,Wholesale,Wisefort,Australia,205.685.0324,2025-02-09
