ReviewID,EmployeeID,ReviewPeriod,PerformanceRating,ProjectsCompleted,BonusAmount,ReviewedBy
REV0001,EMP0018,2025-H1,Average,14,8435.36,Joanna Olsen
REV0002,EMP0165,2023-H1,Needs Improvement,7,19591.97,Peter Clay
REV0003,EMP0034,2024-H1,Needs Improvement,14,16933.58,Angela Hamilton
REV0004,EMP0075,2025-H1,Average,12,14250.11,Sara Hull
REV0005,EMP0137,2023-H1,Excellent,9,4514.82,Gregory Gray
REV0006,EMP0068,2024-H2,Excellent,11,178.45,Jason Stephens
REV0007,EMP0040,2024-H1,Needs Improvement,0,17320.78,John Hayes
REV0008,EMP0185,2023-H2,Average,11,2486.2,Daniel Rodriguez
REV0009,EMP0101,2023-H1,Good,11,1200.66,Debra Williams
REV0010,EMP0037,2023-H2,Good,14,18299.02,Randy Rodriguez
REV0011,EMP0154,2024-H2,Excellent,8,8931.41,Ashley Hughes
REV0012,EMP0145,2023-H2,Good,1,19531.33,Heather Brown
REV0013,EMP0093,2023-H1,Needs Improvement,2,5702.76,Daniel Tate
REV0014,EMP0096,2024-H1,Excellent,6,7294.74,Nicole Lindsey
REV0015,EMP0153,2025-H1,Needs Improvement,10,3599.72,Stacy Brooks
REV0016,EMP0073,2023-H1,Average,5,8703.37,Lynn Levy
REV0017,EMP0197,2023-H2,Needs Improvement,13,465.01,Stephanie Johnson
REV0018,EMP0071,2025-H1,Average,6,7795.41,Teresa Williams
REV0019,EMP0099,2025-H1,Needs Improvement,5,17495.2,Christopher James
REV0020,EMP0060,2023-H1,Needs Improvement,14,7331.52,Traci Carroll
REV0021,EMP0117,2023-H1,Average,3,5376.68,Jason Hall
REV0022,EMP0050,2023-H1,Excellent,7,72.44,Anna Horne
REV0023,EMP0159,2024-H1,Excellent,14,15151.18,Melissa Gibson
REV0024,EMP0142,2024-H1,Excellent,6,6004.35,Jonathan Rios
REV0025,EMP0156,2024-H2,Excellent,11,14492.57,Joshua Moss
REV0026,EMP0161,2024-H2,Good,13,563.37,Lauren Mcgrath
REV0027,EMP0064,2025-H1,Needs Improvement,6,8852.56,Ann Fitzpatrick
REV0028,EMP0035,2024-H1,Good,4,16317.32,Anthony Maynard
REV0029,EMP0036,2023-H2,Average,11,16032.65,Elizabeth Thompson
REV0030,EMP0048,2025-H1,Needs Improvement,15,18155.65,Scott Suarez
REV0031,EMP0193,2025-H1,Excellent,7,8215.47,Dustin Shaw
REV0032,EMP0022,2024-H2,Excellent,11,3252.97,Michael Wilson
REV0033,EMP0117,2023-H2,Needs Improvement,5,2400.34,Gary Sullivan
REV0034,EMP0011,2025-H1,Excellent,12,12643.45,Timothy Haas
REV0035,EMP0136,2023-H2,Excellent,5,5789.75,Justin Walker
REV0036,EMP0070,2024-H1,Average,4,14018.77,Tyler Newman
REV0037,EMP0139,2024-H1,Average,12,14432.66,Mark Rodriguez
REV0038,EMP0001,2024-H1,Excellent,13,9342.73,Kristina Allen
REV0039,EMP0026,2025-H1,Average,3,19535.79,Sandra Mccormick
REV0040,EMP0083,2023-H1,Needs Improvement,14,14087.7,Patricia Le
REV0041,EMP0103,2023-H2,Excellent,2,4748.03,Megan Fisher
REV0042,EMP0003,2023-H2,Excellent,1,9690.72,Ronald Turner
REV0043,EMP0183,2024-H2,Average,12,16154.21,Kevin Nguyen
REV0044,EMP0104,2024-H2,Good,4,17480.69,Nathan Vincent
REV0045,EMP0159,2023-H1,Good,2,12376.06,Jennifer Davies
REV0046,EMP0128,2024-H1,Good,7,14284.69,Richard Wheeler
REV0047,EMP0009,2023-H1,Needs Improvement,7,14822.85,Dylan Wu
REV0048,EMP0101,2023-H1,Good,10,10247.57,Shelby Gutierrez
REV0049,EMP0109,2023-H2,Good,2,9073.54,John Morales
REV0050,EMP0160,2023-H2,Excellent,4,19702.03,Jessica Farmer
REV0051,EMP0027,2023-H1,Needs Improvement,14,1799.73,Joseph Stewart
REV0052,EMP0154,2024-H2,Excellent,14,20.86,Cory Roberts
REV0053,EMP0193,2023-H2,Excellent,7,12058.8,William Jones
REV0054,EMP0038,2023-H1,Average,9,13182.01,Victoria Short
REV0055,EMP0135,2024-H2,Good,7,18398.84,Craig Roberts
REV0056,EMP0002,2025-H1,Needs Improvement,9,9810.62,Monica Taylor
REV0057,EMP0182,2025-H1,Needs Improvement,14,11196.69,Nicholas Pearson
REV0058,EMP0174,2025-H1,Average,10,5382.04,David Santana
